x_um,region_id,region,temperature_C,c_h2_mol_m3,c_o2_mol_m3,total_water_kg_m3,vapor_water_kg_m3,liquid_water_kg_m3,ice_water_kg_m3,liquid_fraction,ice_fraction,gas_porosity,d_h2_effective_m2_s,d_o2_effective_m2_s,d_water_effective_m2_s,d_liquid_capillary_m2_s,thermal_conductivity_W_m_K,volumetric_heat_capacity_J_m3_K,temperature_smoothed_C
7.05,0,aGDL,-12.187278923050712,46.70595685661992,0.0,2.1863793192957077e-09,2.1863793192957077e-09,0.0,0.0,0.0,0.0,0.8,6.234176130028302e-05,0.0,4.924999142722359e-05,3.7482742251043674e-08,0.3,10184194.96,-12.187295189595448
7.1499999999999995,0,aGDL,-12.187185509674862,46.70593196559825,0.0,2.2173910711440453e-09,2.2173910711440453e-09,0.0,0.0,0.0,0.0,0.8,6.234180035268672e-05,0.0,4.92500222786225e-05,3.748287878943272e-08,0.3,10184194.96,-12.187201776080219
7.25,0,aGDL,-12.18709224645039,46.70590707458529,0.0,2.248402803587203e-09,2.248402803587203e-09,0.0,0.0,0.0,0.0,0.8,6.234183934232856e-05,0.0,4.925005308043956e-05,3.748301510863765e-08,0.3,10184194.96,-12.18710851271648
7.349999999999999,0,aGDL,-12.186999133376105,46.705882183581004,0.0,2.279414516656506e-09,2.279414516656506e-09,0.0,0.0,0.0,0.0,0.8,6.234187826920902e-05,0.0,4.925008383267512e-05,3.748315120865878e-08,0.3,10184194.96,-12.187015399502934
7.45,0,aGDL,-12.18690617045064,46.70585729258538,0.0,2.3104262103832792e-09,2.3104262103832792e-09,0.0,0.0,0.0,0.0,0.8,6.234191713332861e-05,0.0,4.9250114535329596e-05,3.748328708949677e-08,0.3,10184194.96,-12.186922436438302
7.55,0,aGDL,-12.18681335767269,46.70583240159838,0.0,2.3414378847988455e-09,2.3414378847988455e-09,0.0,0.0,0.0,0.0,0.8,6.234195593468784e-05,0.0,4.9250145188403385e-05,3.7483422751152134e-08,0.3,10184194.96,-12.186829623521295
7.6499999999999995,0,aGDL,-12.18672069504106,46.705807510619984,0.0,2.3724495399345287e-09,2.3724495399345287e-09,0.0,0.0,0.0,0.0,0.8,6.234199467328713e-05,0.0,4.9250175791896825e-05,3.748355819362524e-08,0.3,10184194.96,-12.18673696075063
7.749999999999998,0,aGDL,-12.186628182554387,46.70578261965017,0.0,2.4034611758216524e-09,2.4034611758216524e-09,0.0,0.0,0.0,0.0,0.8,6.234203334912703e-05,0.0,4.925020634581034e-05,3.748369341691676e-08,0.3,10184194.96,-12.18664444812503
7.85,0,aGDL,-12.186535820211475,46.705757728688916,0.0,2.434472792491539e-09,2.434472792491539e-09,0.0,0.0,0.0,0.0,0.8,6.234207196220794e-05,0.0,4.925023685014427e-05,3.748382842102699e-08,0.3,10184194.96,-12.186552085643205
7.95,0,aGDL,-12.186443608010961,46.70573283773619,0.0,2.4654843899755117e-09,2.4654843899755117e-09,0.0,0.0,0.0,0.0,0.8,6.234211051253044e-05,0.0,4.9250267304899045e-05,3.7483963205956595e-08,0.3,10184194.96,-12.186459873303876
8.049999999999999,0,aGDL,-12.186351545951538,46.705707946791975,0.0,2.4964959683048925e-09,2.4964959683048925e-09,0.0,0.0,0.0,0.0,0.8,6.2342149000095e-05,0.0,4.9250297710075035e-05,3.748409777170616e-08,0.3,10184194.96,-12.186367811105761
8.15,0,aGDL,-12.18625963403207,46.705683055856234,0.0,2.527507527511003e-09,2.527507527511003e-09,0.0,0.0,0.0,0.0,0.8,6.234218742490204e-05,0.0,4.925032806567261e-05,3.748423211827594e-08,0.3,10184194.96,-12.18627589904758
8.25,0,aGDL,-12.186167872251133,46.70565816492895,0.0,2.5585190676251642e-09,2.5585190676251642e-09,0.0,0.0,0.0,0.0,0.8,6.234222578695212e-05,0.0,4.925035837169217e-05,3.748436624566666e-08,0.3,10184194.96,-12.186184137128052
8.35,0,aGDL,-12.186076260607479,46.7056332740101,0.0,2.589530588678698e-09,2.589530588678698e-09,0.0,0.0,0.0,0.0,0.8,6.234226408624568e-05,0.0,4.9250388628134086e-05,3.7484500153878775e-08,0.3,10184194.96,-12.186092525345899
8.45,0,aGDL,-12.185984799099913,46.70560838309965,0.0,2.6205420907029246e-09,2.6205420907029246e-09,0.0,0.0,0.0,0.0,0.8,6.234230232278322e-05,0.0,4.925041883499874e-05,3.748463384291272e-08,0.3,10184194.96,-12.186001063699843
8.549999999999999,0,aGDL,-12.185893487727071,46.70558349219758,0.0,2.651553573729165e-09,2.651553573729165e-09,0.0,0.0,0.0,0.0,0.8,6.234234049656521e-05,0.0,4.925044899228651e-05,3.748476731276911e-08,0.3,10184194.96,-12.185909752188604
8.65,0,aGDL,-12.185802326487703,46.70555860130387,0.0,2.6825650377887386e-09,2.6825650377887386e-09,0.0,0.0,0.0,0.0,0.8,6.234237860759216e-05,0.0,4.9250479099997804e-05,3.7484900563448456e-08,0.3,10184194.96,-12.185818590810902
8.75,0,aGDL,-12.185711315380502,46.70553371041849,0.0,2.713576482912966e-09,2.713576482912966e-09,0.0,0.0,0.0,0.0,0.8,6.234241665586456e-05,0.0,4.9250509158133e-05,3.748503359495123e-08,0.3,10184194.96,-12.185727579565466
8.85,0,aGDL,-12.185620454404216,46.705508819541414,0.0,2.7445879091331647e-09,2.7445879091331647e-09,0.0,0.0,0.0,0.0,0.8,6.234245464138288e-05,0.0,4.925053916669247e-05,3.748516640727801e-08,0.3,10184194.96,-12.185636718451013
8.950000000000001,0,aGDL,-12.185529743557595,46.70548392867262,0.0,2.7755993164806555e-09,2.7755993164806555e-09,0.0,0.0,0.0,0.0,0.8,6.234249256414757e-05,0.0,4.925056912567658e-05,3.748529900042925e-08,0.3,10184194.96,-12.185546007466277
9.049999999999999,0,aGDL,-12.185439182839332,46.70545903781208,0.0,2.8066107049867562e-09,2.8066107049867562e-09,0.0,0.0,0.0,0.0,0.8,6.234253042415917e-05,0.0,4.925059903508575e-05,3.74854313744055e-08,0.3,10184194.96,-12.185455446609973
9.149999999999999,0,aGDL,-12.185348772248176,46.705434146959774,0.0,2.837622074682785e-09,2.837622074682785e-09,0.0,0.0,0.0,0.0,0.8,6.234256822141813e-05,0.0,4.925062889492031e-05,3.74855635292073e-08,0.3,10184194.96,-12.18536503588083
9.25,0,aGDL,-12.18525851178282,46.70540925611568,0.0,2.86863342560006e-09,2.86863342560006e-09,0.0,0.0,0.0,0.0,0.8,6.234260595592494e-05,0.0,4.9250658705180696e-05,3.748569546483514e-08,0.3,10184194.96,-12.18527477527758
9.35,0,aGDL,-12.18516840144207,46.705384365279755,0.0,2.899644757769899e-09,2.899644757769899e-09,0.0,0.0,0.0,0.0,0.8,6.234264362768006e-05,0.0,4.9250688465867253e-05,3.7485827181289486e-08,0.3,10184194.96,-12.185184664798944
9.45,0,aGDL,-12.185078441224505,46.70535947445199,0.0,2.9306560712236185e-09,2.9306560712236185e-09,0.0,0.0,0.0,0.0,0.8,6.234268123668405e-05,0.0,4.92507181769804e-05,3.748595867857109e-08,0.3,10184194.96,-12.185094704443653
9.549999999999999,0,aGDL,-12.184988631128988,46.70533458363236,0.0,2.961667365992536e-09,2.961667365992536e-09,0.0,0.0,0.0,0.0,0.8,6.234271878293732e-05,0.0,4.9250747838520484e-05,3.7486089956680265e-08,0.3,10184194.96,-12.185004894210431
9.65,0,aGDL,-12.184898971154212,46.705309692820826,0.0,2.992678642107968e-09,2.992678642107968e-09,0.0,0.0,0.0,0.0,0.8,6.234275626644036e-05,0.0,4.925077745048788e-05,3.7486221015617617e-08,0.3,10184194.96,-12.184915234098009
9.75,0,aGDL,-12.184809461298869,46.70528480201738,0.0,3.0236898996012298e-09,3.0236898996012298e-09,0.0,0.0,0.0,0.0,0.8,6.23427936871937e-05,0.0,4.925080701288301e-05,3.7486351855383685e-08,0.3,10184194.96,-12.184825724105117
9.85,0,aGDL,-12.184720101561709,46.70525991122199,0.0,3.054701138503638e-09,3.054701138503638e-09,0.0,0.0,0.0,0.0,0.8,6.234283104519778e-05,0.0,4.925083652570624e-05,3.7486482475979e-08,0.3,10184194.96,-12.184736364230488
9.95,0,aGDL,-12.184630891941481,46.70523502043463,0.0,3.0857123588465077e-09,3.0857123588465077e-09,0.0,0.0,0.0,0.0,0.8,6.234286834045308e-05,0.0,4.9250865988957936e-05,3.748661287740407e-08,0.3,10184194.96,-12.184647154472852
