case,time_s,current_A,current_density_A_cm2,temperature_experiment_C,temperature_model_C,voltage_experiment_V,voltage_model_V,temperature_min_C,temperature_max_C,ice_fraction_average,ice_fraction_max,ice_fraction_ccl_average,liquid_fraction_max,gas_porosity_min,gas_porosity_ccl_average,d_h2_effective_average_m2_s,d_o2_effective_average_m2_s,d_o2_effective_ccl_average_m2_s,d_water_cathode_average_m2_s,d_liquid_capillary_cathode_average_m2_s,lambda_pem_average,lambda_pem_min,lambda_pem_max,membrane_water_average_kg_m3,anode_pem_water_flux_kg_m2_s,pem_cathode_water_flux_kg_m2_s,active_area_factor,reversible_voltage_V,activation_loss_V,ohmic_loss_V,concentration_loss_V,limiting_current_A_m2,exchange_current_density_A_m2,hydration_activity_factor,effective_exchange_current_density_A_m2,transport_limited,electrochemical_heat_average_W_m3,phase_change_heat_average_W_m3,current_residual_max_A_m2,water_balance_residual_kg_m2_s,temperature_error_C,voltage_error_V
-20C,4.0,2.0,0.006,-19.968648126966286,-19.97189786737684,0.8,0.8005420665715051,-19.97345246872939,-19.97110422051614,0.0,0.0,0.0,0.0,0.3916,0.4207,5.826217479860145e-05,1.1312293985103688e-05,4.509334420223011e-06,1.2752040492298702e-05,2.573303519417992e-08,2.9998735231589087,2.9833967711335054,3.0164101451925625,116.09510534624975,-1.1371606287129261e-08,3.1270835146678075e-09,1.0,1.2587149972823803,0.4567592842810431,0.0014123723030570131,1.2741267751856858e-06,256865.45602793782,0.11230535717647021,0.9998313748758395,0.11228641967167244,False,124785.66270495774,0.0,7.105427357601002e-15,6.352747104407253e-22,-0.003249740410552704,0.0005420665715050177
-20C,4.2,1.9,0.006,-19.967353781243105,-19.970675272867368,0.8,0.8005478949194115,-19.972151039905697,-19.969913165629094,0.0,0.0,0.0,0.0,0.3916,0.4207,5.826266541884948e-05,1.131238914605247e-05,4.5093744915679825e-06,1.2752147764640963e-05,2.5734429645583513e-08,2.9998672784421596,2.983677631300752,3.016113658769384,116.09486367571157,-1.1372692758227258e-08,3.1287988702676665e-09,1.0,1.2587140268420551,0.4567525174958254,0.0014123403203531463,1.2741064651402134e-06,256870.7904195935,0.11232014993236436,0.9998230496658745,0.11230027484430481,False,124784.59230130186,0.0,7.105427357601002e-15,6.88214269644119e-22,-0.0033214916242627623,0.0005478949194114291
-20C,4.4,2.0,0.006,-19.966062995180636,-19.969437466714425,0.801,0.8005536952165535,-19.970876982732193,-19.96870018806692,0.0,0.0,0.0,0.0,0.3916,0.4207,5.826316335927623e-05,1.1312485668950433e-05,4.509414068151161e-06,1.2752256572271395e-05,2.5735844386369526e-08,2.999861033001078,2.983826996886816,3.0159503108651475,116.0946219771417,-1.1373271254952688e-08,3.1287748687695123e-09,1.0,1.2587129377191357,0.4567456590611505,0.0014123093336215803,1.2741078101793162e-06,256871.7749860353,0.11233512858064115,0.9998147235422578,0.11231431552593771,False,124783.52704930145,0.0,7.105427357601002e-15,7.940933880509066e-22,-0.003374471533788892,-0.00044630478344653834
-20C,4.6,2.0,0.007,-19.964737756967992,-19.96819619108328,0.801,0.789113989578868,-19.96961631191857,-19.967474507358588,0.0,0.0,0.0,0.0,0.3916,0.4207,5.8263663090487643e-05,1.1312582558806185e-05,4.50945329786825e-06,1.2752365793563334e-05,2.5737264682939295e-08,2.999854787261241,2.982760972155267,3.0170119145422007,116.09438026701004,-1.1369146529120792e-08,2.3988053256846968e-09,1.0,1.2587118829474246,0.4679487453081247,0.0016476615742762161,1.4864861557181647e-06,256873.36185360447,0.11235015107175415,0.9998063970723609,0.11232839975358597,False,148031.89693749388,0.0,1.4210854715202004e-14,2.6469779601696886e-22,-0.0034584341152879006,-0.01188601042113202
-20C,4.8,2.0,0.006,-19.963416191841873,-19.96671741246604,0.801,0.8005664574208281,-19.968241598664292,-19.96595378025833,0.0,0.0,0.0,0.0,0.3916,0.4207,5.826426019832266e-05,1.1312698907640686e-05,4.509496771816236e-06,1.2752496950431317e-05,2.5738971270460466e-08,2.999848782830335,2.9832845246602737,3.016473807264028,116.09414789553396,-1.1371176225233578e-08,3.129819926917025e-09,1.0,1.2587104237838251,0.4567304448789742,0.0014122473509236698,1.2741330991410576e-06,256869.4365308038,0.11236805036372872,0.9997983923510226,0.11234539610527472,False,124781.1832101326,0.0,7.105427357601002e-15,6.617444900424221e-22,-0.00330122062416649,-0.0004335425791719416
-20C,5.0,2.0,0.007,-19.962098284320717,-19.965424345532426,0.801,0.7891268785836997,-19.966920481493702,-19.964674094436788,0.0,0.0,0.0,0.0,0.3916,0.4207,5.826478016712435e-05,1.1312799886835837e-05,4.509537807694299e-06,1.2752610781524034e-05,2.5740451568722394e-08,2.9998426195564423,2.9825694524502486,3.0171829894737052,116.0939093768343,-1.136840943052303e-08,2.40103068984251e-09,1.0,1.2587092848445258,0.46793333353004596,0.0016475862116950043,1.486519085118114e-06,256870.48418062812,0.11238370394750434,0.9997901759204151,0.11236012314026321,False,148029.13528968787,0.0,1.4210854715202004e-14,-2.6469779601696886e-22,-0.003326061211708975,-0.01187312141630037
-20C,5.2,2.2,0.007,-19.960707765800493,-19.963891189090646,0.801,0.7891340523399103,-19.965489917172704,-19.963098757516605,0.0,0.0,0.0,0.0,0.3916,0.4207,5.82653988753981e-05,1.1312920531310913e-05,4.509583020008861e-06,1.2752746780750484e-05,2.574222124660365e-08,2.999836689766792,2.982129230278106,3.0176165137730067,116.09367989397482,-1.1366708833281536e-08,2.40148071611753e-09,1.0,1.2587078173090975,0.46792473140666974,0.0016475470155317602,1.4865469858608114e-06,256867.21891527428,0.11240226662040056,0.9997822708018986,0.11237779336502453,False,148027.59821305875,0.0,1.4210854715202004e-14,-3.441071348220595e-22,-0.0031834232901530868,-0.011865947660089748
-20C,5.4,2.0,0.007,-19.95932112290177,-19.962390901943337,0.801,0.7891411681395355,-19.964026057073198,-19.961577054599672,0.0,0.0,0.0,0.0,0.3916,0.4207,5.826600286273896e-05,1.1313038251823934e-05,4.509628815437562e-06,1.2752879483874253e-05,2.5743947640552766e-08,2.999830760107282,2.981874850053927,3.017861769944642,116.09345041615181,-1.1365726358502282e-08,2.4031116784187024e-09,1.0,1.258706486995143,0.4679163260267121,0.001647506279454891,1.4865494405960764e-06,256868.31669901154,0.11242043407917242,0.9997743659037517,0.11239506819612913,False,148026.0735544307,0.0,1.4210854715202004e-14,-4.764560328305439e-22,-0.0030697790415672443,-0.011858831860464547
-20C,5.6,1.9,0.007,-19.958052539033645,-19.960907916164643,0.801,0.7891482476439537,-19.96255152665998,-19.96008931102054,0.0,0.0,0.0,0.0,0.3916,0.4207,5.826659952878351e-05,1.1313154405318473e-05,4.509674829148266e-06,1.2753010420540824e-05,2.5745650889532e-08,2.999824830099674,2.9817250975193894,3.018000887717387,116.09322092485736,-1.1365148236568618e-08,2.4043360996906105e-09,1.0,1.258705223258284,0.4679080242503904,0.0016474648165957975,1.486547344072253e-06,256870.1832607398,0.11243839470425725,0.9997664605884318,0.11241213590772034,False,148024.55667255353,0.0,1.4210854715202004e-14,1.3234889800848443e-22,-0.002855377130998704,-0.011851752356046297
-20C,5.8,2.0,0.006,-19.956787439576374,-19.95951718840098,0.801,0.8006007710165698,-19.961107382293903,-19.958718876434887,0.0,0.0,0.0,0.0,0.3916,0.4207,5.8267158119516723e-05,1.1313262919725333e-05,4.5097195000894325e-06,1.2753132745872193e-05,2.5747241717316002e-08,2.9998188246520194,2.982645537045474,3.017059248644496,116.09298851403317,-1.1368710903316155e-08,3.1354986044514073e-09,1.0,1.258704053150347,0.45668993231087773,0.0014120756803406805,1.2741425589137936e-06,256874.83379265142,0.11245524039706141,0.9997584547514828,0.11242807736807264,False,124774.88135600189,0.0,7.105427357601002e-15,7.940933880509066e-22,-0.002729748824606304,-0.00039922898343025537
