时间_s,实验电流密度_A_cm2,实验电压_V,模型电压_V,电压相对误差_%,实验平均温度_C,模型平均温度_C,温度相对误差_%,模型最大冰体积分数,模型冰质量_kg_m2,步内耦合迭代次数
26.0,0.245,0.618,0.6198648640942989,0.3017579440613055,-15.630099978453512,-15.66812175172089,0.24325994919924854,0.02932356125822059,0.00030484774284046125,4
26.2,0.251,0.617,0.6194429505761391,0.3959401257923955,-15.57115187687803,-15.61055068247498,0.25302434854195743,0.0297837459030959,0.00030963182240858496,4
26.4,0.256,0.616,0.6192530908836803,0.5280991694286217,-15.510876700355976,-15.551553362498794,0.26224605435671317,0.030249755343642857,0.00031447645655251113,4
26.6,0.262,0.614,0.6188485215638275,0.7896614924800545,-15.449117862326355,-15.491167093977992,0.27217885206362935,0.03072199716164608,0.00031938588249247264,4
26.8,0.267,0.614,0.6186654971940571,0.7598529632014767,-15.385393061506967,-15.42939740128594,0.286013750854813,0.031200851383784287,0.00032436405098582147,4
27.0,0.275,0.613,0.6178603197854733,0.792874353258287,-15.319818389165029,-15.36587845769094,0.3006567529448457,0.03168681804862055,0.00032941616043345923,4
27.2,0.279,0.612,0.6178927756777802,0.9628718427745486,-15.252837320910864,-15.300869924967401,0.3149093053702674,0.03218029053714561,0.00033454630042416576,4
27.4,0.284,0.611,0.6177172733039188,1.0993900661078237,-15.18511126829302,-15.23489309480118,0.3278331362122126,0.03268141707901546,0.0003397560119534447,4
27.6,0.287,0.611,0.6179363417649046,1.135244151375557,-15.116429731463176,-15.16802700678113,0.3413324193249171,0.03319026303014542,0.0003450459744613918,4
27.8,0.292,0.61,0.6177519088550931,1.2708047303431371,-15.046204802621478,-15.100230858734676,0.35906766405163587,0.03370688932777341,0.0003504168214515324,4
28.0,0.297,0.611,0.6175663707277863,1.0746924268062716,-14.97466420609388,-15.031136971906164,0.37712208457604507,0.03423149849341284,0.00035587065833751985,4
28.2,0.3,0.613,0.6177586768985759,0.7762931319047142,-14.902736956889303,-14.961186280120842,0.3922052935687,0.034764133652995625,0.00036140793345654254,4
28.4,0.3,0.616,0.6185062365715805,0.4068565862955447,-14.831182629642033,-14.891232851082634,0.40489165928402254,0.03530447075641901,0.00036702527798373205,4
28.6,0.299,0.618,0.6194216655397444,0.23004296759618642,-14.76010950092618,-14.821829232162202,0.41815225850559107,0.03585191625255961,0.00037271652136160974,4
28.8,0.3,0.621,0.6199413914231299,0.17046836986636452,-14.689464688744895,-14.752637472196284,0.4300550414188478,0.036405989569470776,0.0003784766675642182,4
29.0,0.299,0.623,0.6208202267255569,0.34988335063291737,-14.61914131348485,-14.683682578415699,0.4414846504788585,0.03696624262494297,0.0003843010583289071,4
29.2,0.299,0.625,0.6214938223872134,0.5609884180458558,-14.549193118638161,-14.615146995013504,0.45331638557228726,0.03753218477788268,0.0003901845929508683,4
29.4,0.3,0.627,0.6219619126941235,0.8035226963120439,-14.479511905252682,-14.546627064785412,0.4635181073222667,0.03810350426146286,0.0003961240303021679,4
29.6,0.299,0.629,0.6227893921251304,0.9873780405198093,-14.410468611294139,-14.47837282067934,0.4712144428945324,0.03867983753447119,0.0004021155910083625,4
29.8,0.299,0.631,0.6234132366483793,1.202339675375701,-14.341793280675834,-14.410533557311624,0.47930042840884246,0.03926077278119951,0.00040815499383335007,4
30.0,0.299,0.633,0.6240214226728448,1.4184166393610165,-14.273270601666557,-14.342887369771915,0.4877422284506417,0.0398459988790913,0.00041423900434703315,4
30.2,0.299,0.634,0.6246143105306192,1.480392660785613,-14.20516192992486,-14.27546545189989,0.49491531544549655,0.040435225739528444,0.00042036460678813775,4
30.4,0.299,0.636,0.6251922993939516,1.6993239946616996,-14.137304368696025,-14.20826785408326,0.5019590972687009,0.0410281828856839,0.0004265289892795698,4
30.6,0.299,0.638,0.6257557792420737,1.9191568586091385,-14.069904996594774,-14.141292867688207,0.5073799084692534,0.04162461812663632,0.0004327295300445112,4
30.8,0.299,0.64,0.6263051285129994,2.139823669843853,-14.002958801626706,-14.07453872119504,0.5111771060843145,0.042224296321129486,0.00043896378455446215,4
31.0,0.299,0.641,0.6268407143852012,2.208936913385155,-13.936355882656672,-14.008003668849028,0.514107036269929,0.042826998224909624,0.0004452294735461605,4
31.2,0.299,0.643,0.627362893177928,2.431898417118503,-13.869986936641256,-13.941685994755176,0.516936738595676,0.04343251941598981,0.00045152447184863,4
31.4,0.3,0.644,0.627685130213806,2.53336487363261,-13.803847692803263,-13.875402272243605,0.5183669150279551,0.04404074214455102,0.0004578475553347524,4
31.6,0.299,0.646,0.6283683501440205,2.7293575628451294,-13.737985882812639,-13.809368014008612,0.5195967720805275,0.0446514837695521,0.0004641968252682636,4
31.8,0.3,0.647,0.6286655968347671,2.83375628519829,-13.672500994698142,-13.743548525198719,0.5196381446827275,0.045264573997479025,0.000470570511277792,4
32.0,0.299,0.648,0.6293242351142013,2.882062482376342,-13.607439912828882,-13.67794039285917,0.5181024533778883,0.045879854047704796,0.000476966962679939,4
32.2,0.3,0.65,0.6295977891862109,3.1388016636598652,-13.542745467857715,-13.612541880931985,0.5153786079781574,0.04649717587415386,0.0004833846403877036,4
32.4,0.299,0.651,0.6302330866515922,3.1900020504466755,-13.478309010214762,-13.547351497187151,0.5122488801827004,0.0471164014395811,0.0004898221093658852,4
32.6,0.3,0.652,0.6304841186658533,3.2999817997157552,-13.414074198952765,-13.482367668799213,0.5091180265856904,0.04773740203891267,0.0004962780315965361,4
32.8,0.3,0.654,0.630911257809952,3.5303887140746135,-13.350191597741377,-13.417407923342296,0.5034858496884096,0.04836013052028686,0.0005027519168889022,4
33.0,0.3,0.655,0.6313276889506587,3.6140932899757727,-13.286604283379097,-13.352687080597093,0.497364080457056,0.04898447006779147,0.0005092425508247602,4
33.2,0.3,0.656,0.6317337334221085,3.69912600272737,-13.223358896415368,-13.28817082415435,0.49013210823878345,0.04961031176285192,0.0005157488010866086,4
33.4,0.3,0.657,0.6321296543023409,3.785440745458008,-13.160398896964447,-13.22385585352987,0.48218110303677564,0.05023755405045505,0.0005222696119085307,4
33.6,0.299,0.658,0.6327015733118048,3.8447456972941128,-13.09761663364973,-13.159921370606355,0.4756952253172122,0.05086602938939618,0.0005288032415321628,4
33.8,0.3,0.66,0.63289140222532,4.107363299193939,-13.03500761138103,-13.096150074869286,0.4690635043041461,0.05149565441708317,0.0005353488233199966,4
34.0,0.299,0.661,0.6334443433478385,4.168783154638659,-12.972721003892428,-13.032573450805387,0.46137157266390577,0.052126351406894506,0.0005419055492260753,4
34.2,0.3,0.662,0.6336157458585989,4.287651682991104,-12.910751617472538,-12.969192021699428,0.4526491249959457,0.05275804788701757,0.0005484726658334347,4
34.4,0.3,0.663,0.6339648070695489,4.379365449540135,-12.849043339980467,-12.905824198524272,0.4419072847791568,0.053390749137107174,0.0005550502280293662,4
34.6,0.3,0.664,0.6343051014358733,4.472123277729935,-12.787693656628376,-12.8426842350068,0.43002733608589794,0.054024387228108345,0.0005616375296234144,4
